,MOL_id,MOL_name,SMILES,Cluster No.,Num_data,Num_pos_data
39,L000040,NPL51185-01,COc1ccc(Cl)c(Nc2nc3ccccc3nc2NS(=O)(=O)c2cccc(NC(=O)C(C)(C)N)c2)c1,,9,0
40,L000041,NPD15779,CN1C(=O)N=C(O)C2(Cc3cc4ccccc4nc3N3C4CC(C)(C)CC(C)(C4)C32)C1=O,,9,0
41,L000042,NPL41465-01,Cc1cc([C@@H](C)Nc2ccccc2C(=O)O)c2nc(N3CCOCC3)cc(=O)n2c1,,9,0
42,L000043,STK055805,COc1cc(-c2cc(OC)c3c(C)oc(C)c3c(=O)c2)ccc1O,,9,0
43,L000044,STL182889,Cc1oc(C)c2c(=O)cc(-c3ccc4c(c3)OCO4)cc(OC(=O)c3cccc(Cl)c3)c12,,9,0
44,L000045,STL182886,COc1ccc(-c2cc(OC(=O)c3ccccc3F)c3c(C)oc(C)c3c(=O)c2)cc1OC,,9,0
45,L000046,NPL90560-01,COc1c(-c2ccccc2)oc2c(OC)c(O)cc(O)c2c1=O,,9,0
46,L000047,NPL50546-01,O=C1C[C@]23C=CCN4CCC5c6cc7c(cc6N1[C@@]5(CC2)C43)OCO7,,9,0
47,L000048,NPL50537-01,COc1c(CC=C(C)C)c(O)c2c(=O)c3cccc(O)c3n(C)c2c1CC=C(C)C,,9,0
48,L000049,NPL40583-01,O=C(/C=C/c1ccc(O)c(O)c1)N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,,9,0
49,L000050,NPL70580-01,COc1c(O)ccc2c(=O)c3c(O)cccc3oc12,,9,0
50,L000051,NPD15635,COc1c2c(cc3c1C(CC(=O)c1cc(C(C)(C)C)cc4c1CCC4(C)C)[N+](C)(C)CC3)OCO2.[I-],,9,0
51,L000052,Rosmarinic acid,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,,9,0
52,L000053,"3,3'-Methylene-bis(4-hydroxycoumarin)",O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,,9,0
53,L000054,NPL40556-01,O=C(/C=C/C=C/CCCC/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,,9,0
54,L000055,NPL70553-01,COc1cc2c(cc1O)C1(Cc3ccc4c(c3C1=O)OCO4)N(C)CC2,,9,0
55,L000056,NPD15222,CCCCC[C@H](O)/C=C/[C@H]1CCC(=O)[C@@H]1CCCCCCC(=O)N1CCn2c3c(c4cc(C)ccc42)CCCC31,,9,0
56,L000057,NPD15205,CCCCC[C@H](O)/C=C/[C@H]1CCC(=O)[C@@H]1CCCCCCC(=O)OC,,9,0
57,L000058,NPD15186,CCNC1C(O)C(C)OC(OC2/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C(C)C(C(C)CC(C)C(O)CC(=O)c3ccc(N)cc3)OC(=O)CC(=O)CCCC(=O)CC(O)CC(O)CC(O)CC(=O)CC(O)C(C(=O)OCC)C(O)C2)C1O,,9,0
58,L000059,NPD15608,COc1c2c(cc3c1C(CC(=O)c1cc4c(cc1C)C(C)(C)C(C)C4(C)C)N(C)CC3)OCO2,,9,0
59,L000060,NPD15605,COc1c2c(cc3c1C(CC(=O)C1CC=C(CCC=C(C)C)CC1)N(C)CC3)OCO2,,9,0
60,L000061,Scutellarein,O=c1cc(-c2ccc(O)cc2)oc2cc(O)c(O)c(O)c12,,9,0
61,L000062,"5,5'-Diallyl-2,2'-dihydroxybiphenyl",C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,,9,0
62,L000063,Bisdemethoxycurcumin,O=C(/C=C/c1ccc(O)cc1)CC(=O)/C=C/c1ccc(O)cc1,,9,0
63,L000064,alpha-Mangostin,COc1c(O)cc2oc3cc(O)c(CC=C(C)C)c(O)c3c(=O)c2c1CC=C(C)C,,9,0
64,L000065,Myricetin,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,,9,0
65,L000066,Cinoxacin,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,,9,0
66,L000067,R-051111,Nc1cccc(-c2nc3cc(N)ccc3[nH]2)c1,,9,0
67,L000068,Ferulic acid,COc1cc(/C=C/C(=O)O)ccc1O,,9,0
68,L000069,Gallic acid,O=C(O)c1cc(O)c(O)c(O)c1,,9,0
69,L000070,NPL81236-01,CCN1C(=O)CN=C2NC=C(c3ccc(-c4nnc[nH]4)nc3C)N=C21,,9,0
70,L000071,NPD15782,COc1c(-c2ccn[nH]2)c(O)c(OC)c2occc12,,9,0
71,L000072,UZI/8175567,O=C(Nc1nc(-c2ccc(F)cc2)cs1)c1cc(-c2ccco2)nc2ccccc12,,9,0
72,L000073,NPL01450-01,CC[C@@H](Nc1c(Nc2cccc(C(=O)N(C)C)c2O)c(=O)c1=O)c1ccc(C)o1,,9,0
73,L000074,NPD15310,CCCCCCN1CC(=O)N2[C@@H](Cc3c([nH]c4ccccc34)C2(C)C)C1=O,,9,0
74,L000075,NPD15672,CC1(C)CC(=O)C2=C(C1)OC1(O)c3ccccc3C(=O)C21O,,9,0
75,L000076,STL451058,COC1C(OC(C)=O)CC(=O)OC(C)C/C=C/C=C/C(O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C(N(C)C)C1O,,9,0
76,L000077,Pelargonidin chloride,Oc1ccc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc1.[Cl-],,9,0
77,L000078,NPL41203-01,COc1cc(OC)cc(N(CCNC(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,,9,0
78,L000079,NPL71200-01,C=Cc1cc(O)cc2nc(-c3ccc(O)c(F)c3)oc12,,9,0
79,L000080,NPL31529-01,COc1cc2c(cc1OC)C(C[C@H]1CN(C(=O)Cc3ccccc3)CC[C@H]1CC(=O)O)=NCC2,,9,0
80,L000081,NPD15372,CN1C(=O)N(C)C2=NNC(c3ccc(N(C)C)cc3)=N[C@@]2(c2c[nH]c3ccccc23)C1=O,,9,0
81,L000082,NPL21403-01,COC(=O)c1sccc1S(=O)(=O)Nc1ccc(Nc2ccccc2)cc1OC,,9,0
82,L000083,NPL61463-01,O=C1/C(=C/c2ccc(O)c(Br)c2)CCC/C1=C\c1ccc(O)c(Br)c1,,9,0
83,L000084,NPD15280,CN[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(NC(C)CCCC(C)C)c(=O)cc21,,9,0
84,L000085,STK874176,CCOc1cc(-c2ccc(O)cc2)cc(=O)c2c(C)oc(C)c12,,9,0
85,L000086,BAS 00888278,Cc1oc(C)c2c(=O)cc(-c3ccc(O)c(O)c3)cc(O)c12,,9,0
86,L000087,STL284543,CCOc1cc(-c2cc(OC)c3c(C)oc(C)c3c(=O)c2)ccc1O,,9,0
87,L000088,STK874174,CCOc1ccc(-c2cc(OCC)c3c(C)oc(C)c3c(=O)c2)cc1,,9,0
88,L000089,L164933,O=Cc1ccc(/C=C2/CC/C(=C\c3ccc(Cc4ccc(/C=C5\CC/C(=C\c6ccc(C=O)[nH]6)C5=O)[nH]4)[nH]3)C2=O)[nH]1,,9,0
89,L000090,STL182895,COc1ccc(-c2cc(OC(=O)c3ccc(C(C)(C)C)cc3)c3c(C)oc(C)c3c(=O)c2)cc1,,9,0
90,L000091,STL182893,Cc1ccccc1C(=O)Oc1cc(-c2ccc3c(c2)OCO3)cc(=O)c2c(C)oc(C)c12,,9,0
91,L000092,NPL40538-01,C/C=C/C#CC#C/C=C/C=C/C(CCOC(C)=O)OC(C)=O,,9,0
92,L000093,NPD15227,CCCCC[C@@H](O)/C=C/[C@H]1CCC(=O)[C@@H]1CCCCCCC(=O)N[C@@H](CO)C(=O)OC,,9,0
